Final_Label,Highest_Topic_Label,Merged_Label,Original_Label_Pair,Representative_Document
Artificial Intelligence in Data Generation and Chemical Synthesis,Artificial Intelligence in Data Generation and Chemical Synthesis,Artificial Intelligence in Data Generation and Chemical Synthesis,"Artificial Intelligence in Data Generation and Chemical Synthesis , Artificial Intelligence in Data Generation and Chemical Synthesis",Synthetic Data Generation and Applications
Artificial Intelligence in Education,Artificial Intelligence in Education,Artificial Intelligence in Education,"Artificial Intelligence in Education , Artificial Intelligence in Education",Automated Assessment and Grading in Education
Astrophysics and Astronomy Informatics,Astrophysics and Astronomy Informatics,Astrophysics and Astronomy Informatics,"Astrophysics and Astronomy Informatics , Astrophysics and Astronomy Informatics",Astroinformatics and Cosmology
Audio Analysis for Health and Acoustic Applications,Audio Analysis for Health and Acoustic Applications,Audio Analysis for Health and Acoustic Applications,"Audio Analysis for Health and Acoustic Applications , Audio Analysis for Health and Acoustic Applications",Audio Analysis for Health and Acoustic Applications
Autonomous Systems and Perception,Autonomous Systems and Perception,Autonomous Systems and Perception,"Autonomous Systems and Perception , Autonomous Systems and Perception",Autonomous Systems and Safety Assessment
Business and Marketing Analytics,Business and Marketing Analytics,Business and Marketing Analytics,"Business and Marketing Analytics , Business and Marketing Analytics",Sentiment Analysis
COVID-19 Research and Public Perception,COVID-19 Research and Public Perception,COVID-19 Research and Public Perception,"COVID-19 Research and Public Perception , COVID-19 Research and Public Perception",COVID-19 Research and Public Perception
Causal Analysis and Reasoning,Causal Analysis and Reasoning,Causal Analysis and Reasoning,"Causal Analysis and Reasoning , Causal Analysis and Reasoning",Causal Analysis and Counterfactual Reasoning
Complex System Optimization and Management,Optimization and Decision Making in Complex Systems,Optimization and Decision Making in Complex Systems,"Optimization and Decision Making in Complex Systems , Optimization and Management of Complex Systems",Mechanisms and Strategies in Auctions and Voting Systems
Computational Biology and Chemistry,Computational Biology and Chemistry,Computational Biology and Chemistry,"Computational Biology and Chemistry , Computational Biology and Chemistry",Computational Methods for Molecular and Materials Science
Computational Methods in Evolutionary Analysis,Computational Methods in Evolutionary Analysis,Computational Methods in Evolutionary Analysis,"Computational Methods in Evolutionary Analysis , Computational Methods in Evolutionary Analysis",Computational Methods in Historical Linguistics and Phylogenetics
Computational Models of Complex Systems,Computational Models of Complex Systems,Computational Models of Complex Systems,"Computational Models of Complex Systems , Computational Models of Complex Systems",Cellular Dynamics and Neural Cellular Automata for Morphogenesis and Pattern Formation
Computational Simulation of Fluids and Plasmas,Computational Simulation of Fluids and Plasmas,Computational Simulation of Fluids and Plasmas,"Computational Simulation of Fluids and Plasmas , Computational Simulation of Fluids and Plasmas",Fluid Dynamics and Plasma Simulation
Computer Vision,Computer Vision,Computer Vision,"Computer Vision , Computer Vision",Computer Vision and Object Recognition
Computer Vision for 3D Scene Understanding,Computer Vision for 3D Scene Understanding,Computer Vision for 3D Scene Understanding,"Computer Vision for 3D Scene Understanding , Computer Vision for 3D Scene Understanding",3D Pose Estimation and Scene Understanding
Conversational AI and Human-Computer Interaction,Conversational AI and Human-Computer Interaction,Conversational AI and Human-Computer Interaction,"Conversational AI and Human-Computer Interaction , Conversational AI and Human-Computer Interaction",Conversational AI and Chatbots
Cybersecurity and Artificial Intelligence,Cybersecurity and Artificial Intelligence,Cybersecurity and Artificial Intelligence,"Cybersecurity and Artificial Intelligence , Cybersecurity and Artificial Intelligence",Cybersecurity Threat Detection and Prevention
Data Analysis and Pattern Discovery,Data Analysis and Pattern Discovery,Data Analysis and Pattern Discovery,"Data Analysis and Pattern Discovery , Data Analysis and Pattern Discovery",Clustering Techniques and Algorithms
Data Analysis and Visualization,Data Analysis and Visualization,Data Analysis and Visualization,"Data Analysis and Visualization , Data Analysis and Visualization",Dimensionality Reduction and Data Visualization Techniques
Decision Making under Uncertainty,Decision Making under Uncertainty,Decision Making under Uncertainty,"Decision Making under Uncertainty , Decision Making under Uncertainty",Game Theory and Strategic Decision Making
Deep Learning Model Optimization and Security,Deep Learning Model Optimization and Security,Deep Learning Model Optimization and Security,"Deep Learning Model Optimization and Security , Deep Learning Model Optimization and Security",Deep Learning Security and Efficiency
Deep Learning Optimization and Training,Deep Learning Optimization and Training,Deep Learning Optimization and Training,"Deep Learning Optimization and Training , Deep Learning Optimization and Training",Deep Learning Optimization Techniques
Deep Learning for Medical Imaging and Analysis,Deep Learning for Medical Imaging and Analysis,Deep Learning for Medical Imaging and Analysis,"Deep Learning for Medical Imaging and Analysis , Deep Learning for Medical Imaging and Analysis",Deep Learning for Medical Imaging and Analysis
Deep Learning for Structural and Defect Analysis,Deep Learning for Structural and Defect Analysis,Deep Learning for Structural and Defect Analysis,"Deep Learning for Structural and Defect Analysis , Deep Learning for Structural and Defect Analysis",Pavement Crack Detection and Analysis using Deep Learning Techniques
Design and Experimentation in Engineering,Design and Experimentation in Engineering,Design and Experimentation in Engineering,"Design and Experimentation in Engineering , Design and Experimentation in Engineering",Design Automation and Experimentation in Engineering
Diffusion Models,Diffusion Models,Diffusion Models,"Diffusion Models , Diffusion Models",Diffusion Models for Image and Video Generation and Manipulation
Entity Understanding and Semantic Knowledge Integration,Entity Understanding and Semantic Knowledge Integration,Entity Understanding and Semantic Knowledge Integration,"Entity Understanding and Semantic Knowledge Integration , Entity Understanding and Semantic Knowledge Integration",Entity Understanding and Resolution
Environmental Modeling and Prediction using Advanced Computing and AI,Environmental Modeling and Prediction using Advanced Computing and AI,Environmental Modeling and Prediction using Advanced Computing and AI,"Environmental Modeling and Prediction using Advanced Computing and AI , Environmental Modeling and Prediction using Advanced Computing and AI",Climate and Weather Modeling and Prediction using Machine Learning and NLP
Explainable AI and Machine Learning,Artificial Intelligence and Machine Learning Interpretability and Explainability,Artificial Intelligence and Machine Learning Interpretability and Explainability,"Artificial Intelligence and Machine Learning Interpretability and Explainability , Explainable Artificial Intelligence",Explainable AI and Machine Learning
Eye and Vision Research,Eye and Vision Research,Eye and Vision Research,"Eye and Vision Research , Eye and Vision Research",Eye Movement and Gaze in Human Behavior and Cognition
Fairness and Bias in Artificial Intelligence,Fairness and Bias in Artificial Intelligence,Fairness and Bias in Artificial Intelligence,"Fairness and Bias in Artificial Intelligence , Fairness and Bias in Artificial Intelligence",Bias and Fairness in Large Language Models
Generative Modeling and Artificial Intelligence,Generative Modeling and Artificial Intelligence,Generative Modeling and Artificial Intelligence,"Generative Modeling and Artificial Intelligence , Generative Modeling and Artificial Intelligence",Generative Modeling Techniques
Geometric and Equivariant Deep Learning,Geometric and Equivariant Deep Learning,Geometric and Equivariant Deep Learning,"Geometric and Equivariant Deep Learning , Geometric and Equivariant Deep Learning",Geometric Deep Learning on Manifolds
Graph Representation Learning and Neural Networks,Graph Representation Learning and Neural Networks,Graph Representation Learning and Neural Networks,"Graph Representation Learning and Neural Networks , Graph Representation Learning and Neural Networks",Graph Neural Networks and Deep Learning on Graph-Structured Data
Handling Missing Data and Inconsistencies,Handling Missing Data and Inconsistencies,Handling Missing Data and Inconsistencies,"Handling Missing Data and Inconsistencies , Handling Missing Data and Inconsistencies",Data Imputation and Missing Value Analysis
Human Behavior Analysis with AI and Multimodal Sensing,Human Behavior Analysis with AI and Multimodal Sensing,Human Behavior Analysis with AI and Multimodal Sensing,"Human Behavior Analysis with AI and Multimodal Sensing , Human Behavior Analysis with AI and Multimodal Sensing",Depression Detection using AI and Multimodal Data
Human Behavior and Emotion Analysis through Language and Interaction,Human Behavior and Emotion Analysis through Language and Interaction,Human Behavior and Emotion Analysis through Language and Interaction,"Human Behavior and Emotion Analysis through Language and Interaction , Human Behavior and Emotion Analysis through Language and Interaction",Emotion Analysis and Recognition in Human-Computer Interaction
Human Interaction with Emerging Technologies,Human Interaction with Emerging Technologies,Human Interaction with Emerging Technologies,"Human Interaction with Emerging Technologies , Human Interaction with Emerging Technologies",Technology Adoption and Acceptance in Various Domains
Humor and Sarcasm in Natural Language Processing,Humor and Sarcasm in Natural Language Processing,Humor and Sarcasm in Natural Language Processing,"Humor and Sarcasm in Natural Language Processing , Humor and Sarcasm in Natural Language Processing",Humor and Sarcasm in Natural Language Processing
Image and Video Processing,Image and Video Processing,Image and Video Processing,"Image and Video Processing , Image and Video Processing",Video and Image Processing Techniques
Industrial Automation and Control Systems,Industrial Automation and Control Systems,Industrial Automation and Control Systems,"Industrial Automation and Control Systems , Industrial Automation and Control Systems",Predictive Maintenance and Fault Detection in Industrial Systems
Information Credibility and Verification,Information Credibility and Verification,Information Credibility and Verification,"Information Credibility and Verification , Information Credibility and Verification",Automated Information Verification and Analysis
Information Dynamics and Network Influence,Information Dynamics and Network Influence,Information Dynamics and Network Influence,"Information Dynamics and Network Influence , Information Dynamics and Network Influence",Social Media and Information Dynamics
Information Extraction and Text Analysis,Information Extraction and Text Analysis,Information Extraction and Text Analysis,"Information Extraction and Text Analysis , Information Extraction and Text Analysis",Information Extraction with Large Language Models
Information Protection and Concealment,Information Protection and Concealment,Information Protection and Concealment,"Information Protection and Concealment , Information Protection and Concealment",Information Hiding Techniques
Information Retrieval and Analysis,Information Retrieval and Analysis,Information Retrieval and Analysis,"Information Retrieval and Analysis , Information Retrieval and Analysis",Efficient Models for Information Retrieval
Innovations in Sustainable Technology and Food Systems,Innovations in Sustainable Technology and Food Systems,Innovations in Sustainable Technology and Food Systems,"Innovations in Sustainable Technology and Food Systems , Innovations in Sustainable Technology and Food Systems",Sustainable AI and Digital Agriculture Innovations
Large Language Models,"Large Language Models , Large Language Models",Large Language Models,"Large Language Models , Large Language Models , Large Language Models , Large Language Models","Advances in Large Language Models , Large Language Models and Cognitive Abilities"
Machine Learning Adaptation and Forgetting,Machine Learning Adaptation and Forgetting,Machine Learning Adaptation and Forgetting,"Machine Learning Adaptation and Forgetting , Machine Learning Adaptation and Forgetting",Machine Unlearning and Forgetting in Artificial Intelligence
Machine Learning Ensembles and Multi-View Methods,Machine Learning Ensembles and Multi-View Methods,Machine Learning Ensembles and Multi-View Methods,"Machine Learning Ensembles and Multi-View Methods , Machine Learning Ensembles and Multi-View Methods",Ensemble Methods and Classification Techniques
Machine Learning Methodologies,Machine Learning Methodologies,Machine Learning Methodologies,"Machine Learning Methodologies , Machine Learning Methodologies",Surrogate Modeling for Machine Learning and Prediction
Machine Learning Reliability and Uncertainty,Machine Learning Reliability and Uncertainty,Machine Learning Reliability and Uncertainty,"Machine Learning Reliability and Uncertainty , Machine Learning Reliability and Uncertainty",Uncertainty Estimation and Quantification in Machine Learning
Machine Learning and Artificial Intelligence,Machine Learning and Artificial Intelligence,Machine Learning and Artificial Intelligence,"Machine Learning and Artificial Intelligence , Machine Learning and Artificial Intelligence",Machine Learning Theory and Methods
Machine Learning and Blockchain for Security and Fraud Detection,Machine Learning and Blockchain for Security and Fraud Detection,Machine Learning and Blockchain for Security and Fraud Detection,"Machine Learning and Blockchain for Security and Fraud Detection , Machine Learning and Blockchain for Security and Fraud Detection",Blockchain Security and Fraud Detection
Machine Learning and Data Annotation,Machine Learning and Data Annotation,Machine Learning and Data Annotation,"Machine Learning and Data Annotation , Machine Learning and Data Annotation",Meta-Learning and Few-Shot Learning in Machine Learning and NLP
Machine Learning and Data Privacy,Machine Learning and Data Privacy,Machine Learning and Data Privacy,"Machine Learning and Data Privacy , Machine Learning and Data Privacy",Federated Learning for Privacy-Preserving Machine Learning
Machine Learning and Data-Driven Applications,Machine Learning and Data-Driven Applications,Machine Learning and Data-Driven Applications,"Machine Learning and Data-Driven Applications , Machine Learning and Data-Driven Applications",Machine Learning in Software Development and Engineering
Machine Learning for Dynamical Systems,Machine Learning for Dynamical Systems,Machine Learning for Dynamical Systems,"Machine Learning for Dynamical Systems , Machine Learning for Dynamical Systems",Neural Networks for Modeling and Control of Dynamical Systems
Medical Imaging Analysis and Applications,Medical Imaging Analysis and Applications,Medical Imaging Analysis and Applications,"Medical Imaging Analysis and Applications , Medical Imaging Analysis and Applications",Medical Image Analysis
Model and Data Distillation Techniques,Model and Data Distillation Techniques,Model and Data Distillation Techniques,"Model and Data Distillation Techniques , Model and Data Distillation Techniques",Model and Data Distillation Techniques
Multi-Agent Systems and Artificial Intelligence,Multi-Agent Systems and Artificial Intelligence,Multi-Agent Systems and Artificial Intelligence,"Multi-Agent Systems and Artificial Intelligence , Multi-Agent Systems and Artificial Intelligence",Multi-Agent Path Planning and Coordination
Multimodal Learning,Multimodal Learning and Vision-Language Models,Multimodal Learning and Vision-Language Models,"Multimodal Learning and Vision-Language Models , Multimodal Learning and Applications",Vision-Language Models and Multimodal Learning
Multimodal Learning and Vision-Language Models,Multimodal Learning and Applications,Multimodal Learning and Vision-Language Models,"Multimodal Learning and Applications , Multimodal Learning and Applications",Multimodal Learning and Applications
Multimodal Person Identification,Multimodal Person Identification,Multimodal Person Identification,"Multimodal Person Identification , Multimodal Person Identification",Visible-Infrared Person Re-identification
Nanodevice Localization in Biological Systems,Nanodevice Localization in Biological Systems,Nanodevice Localization in Biological Systems,"Nanodevice Localization in Biological Systems , Nanodevice Localization in Biological Systems",Flow-Guided Localization of Nanodevices in Bloodstreams
Natural Language Processing,Natural Language Processing,Natural Language Processing,"Natural Language Processing , Natural Language Processing",Natural Language Processing and Linguistics
Online Harm and Misbehavior Detection and Mitigation,Online Harm and Misbehavior Detection and Mitigation,Online Harm and Misbehavior Detection and Mitigation,"Online Harm and Misbehavior Detection and Mitigation , Online Harm and Misbehavior Detection and Mitigation",Toxicity Detection and Mitigation in Natural Language Processing
Optimization and Decision Making in Complex Systems,"Complex Systems Analysis and Optimization , Optimization and Management of Complex Systems",Optimization and Decision Making in Complex Systems,"Complex Systems Analysis and Optimization , Complex Systems Analysis and Optimization , Optimization and Management of Complex Systems , Optimization and Management of Complex Systems","Complex Systems Dynamics and Synchronization , Optimization and Management of Computing Resources and Information Systems"
Optimization and Design,Optimization and Design,Optimization and Design,"Optimization and Design , Optimization and Design",Optimization Methods and Algorithms
Particle Physics and Accelerator Technologies,Particle Physics and Accelerator Technologies,Particle Physics and Accelerator Technologies,"Particle Physics and Accelerator Technologies , Particle Physics and Accelerator Technologies",Particle Physics and Accelerator Technologies
Predictive Analytics for Complex Systems,Predictive Analytics for Complex Systems,Predictive Analytics for Complex Systems,"Predictive Analytics for Complex Systems , Predictive Analytics for Complex Systems",Energy Forecasting and Management
Probabilistic Machine Learning,Probabilistic Machine Learning,Probabilistic Machine Learning,"Probabilistic Machine Learning , Probabilistic Machine Learning",Probabilistic Modeling and Inference
Reasoning and Problem-Solving with Language and Knowledge,Reasoning and Problem-Solving with Language and Knowledge,Reasoning and Problem-Solving with Language and Knowledge,"Reasoning and Problem-Solving with Language and Knowledge , Reasoning and Problem-Solving with Language and Knowledge",Temporal Knowledge Graph Reasoning and Question Answering
Recommender Systems and Personalization,Recommender Systems and Personalization,Recommender Systems and Personalization,"Recommender Systems and Personalization , Recommender Systems and Personalization",Recommender Systems and Personalization Techniques
Reinforcement Learning,Reinforcement Learning,Reinforcement Learning,"Reinforcement Learning , Reinforcement Learning",Reinforcement Learning Methods and Applications
Remote Sensing and Space Data Analysis,Remote Sensing and Space Data Analysis,Remote Sensing and Space Data Analysis,"Remote Sensing and Space Data Analysis , Remote Sensing and Space Data Analysis",Change Detection and Analysis in Remote Sensing and Time Series Data
Robotics and Artificial Intelligence,Robotics and Artificial Intelligence,Robotics and Artificial Intelligence,"Robotics and Artificial Intelligence , Robotics and Artificial Intelligence",Robotics and Autonomous Systems
Self-Supervised Representation Learning,Self-Supervised Representation Learning,Self-Supervised Representation Learning,"Self-Supervised Representation Learning , Self-Supervised Representation Learning",Self-Supervised Learning and Representation Learning
Sepsis Management and Treatment Optimization,Sepsis Management and Treatment Optimization,Sepsis Management and Treatment Optimization,"Sepsis Management and Treatment Optimization , Sepsis Management and Treatment Optimization",Sepsis Management and Treatment Optimization
Signal Processing and Analysis in Complex Environments,Signal Processing and Analysis in Complex Environments,Signal Processing and Analysis in Complex Environments,"Signal Processing and Analysis in Complex Environments , Signal Processing and Analysis in Complex Environments",Object Detection and Signal Processing in Underwater Environments
Solar Activity Prediction and Analysis,Solar Activity Prediction and Analysis,Solar Activity Prediction and Analysis,"Solar Activity Prediction and Analysis , Solar Activity Prediction and Analysis",Solar Flare Prediction using Magnetograms
Speech and Audio Processing,Speech and Audio Processing,Speech and Audio Processing,"Speech and Audio Processing , Speech and Audio Processing",Audio and Speech Processing
Stochastic Methods and Probabilistic Modeling,Stochastic Methods and Probabilistic Modeling,Stochastic Methods and Probabilistic Modeling,"Stochastic Methods and Probabilistic Modeling , Stochastic Methods and Probabilistic Modeling",Stochastic Methods for Sampling and Dynamics
Transportation and Mobility Analytics,Transportation and Mobility Analytics,Transportation and Mobility Analytics,"Transportation and Mobility Analytics , Transportation and Mobility Analytics",Environmental and Transportation Predictive Analytics
Wireless Technologies and Sensing Systems,Wireless Technologies and Sensing Systems,Wireless Technologies and Sensing Systems,"Wireless Technologies and Sensing Systems , Wireless Technologies and Sensing Systems",Advanced Wireless Communication Technologies
